mode,K,mom,mav,pprv,cvv,mfv,cut,dv
BEA-style,3,79.0,3195.8137220912176,1479.325,1365119.5468855184,4270.56,79,53407806.62470572
cut_only,3,55.0,3195.8137220912176,1451.1250000000002,1365119.5468855184,4270.56,55,53359209.024705715
dv_proxy,3,164.0,2622.632965261402,1579.2,1289894.2946106899,4270.56,164,50601272.72558822
BEA-style,4,188.0,3183.3809324957374,1607.3999999999999,1406732.006143005,5062.68,188,55275956.50128617
cut_only,4,134.0,3183.3809324957374,1543.95,1406732.006143005,5062.68,134,55166611.90128618
dv_proxy,4,289.0,2601.035741758238,1726.075,1330303.9974175335,4546.08,289,52352942.557141095
BEA-style,5,268.0,3193.1335060949964,1701.3999999999999,1451256.1115491928,5854.8,268,57200675.03064778
cut_only,5,210.0,3237.560015383427,1633.25,1457086.7248925231,5338.2,210,57212848.623391815
dv_proxy,5,582.0,2460.75,2070.3500000000004,1355136.81,4305.0,582,53726752.96
BEA-style,6,356.0,3235.4186395920274,1804.8,1489550.506494967,6130.32,356,58831424.95170625
cut_only,6,253.0,3288.275142455782,1683.775,1496487.4870458888,5613.719999999999,253,58796286.22089112
dv_proxy,6,441.0,2630.218335897238,1904.675,1410122.9524820873,5097.12,441,55655987.76389864
