geometry,style,dimension_ft,no_modules,cost_factor,row_type
Geometry 1 - Rectangular,1,10 x 80,5,2.28,data
Geometry 1 - Rectangular,1,10 x 140,7,2.58,data
Geometry 1 - Rectangular,1,10 x 160,3,1.83,data
Geometry 1 - Rectangular,1,10 x 200,2,1.50,data
Geometry 1 - Rectangular,1,subtotal,17,8.19,subtotal
Geometry 1 - Rectangular,2,20 x 30,1,1.0,data
Geometry 1 - Rectangular,2,20 x 40,1,1.0,data
Geometry 1 - Rectangular,2,20 x 60,2,1.5,data
Geometry 1 - Rectangular,2,20 x 70,4,2.08,data
Geometry 1 - Rectangular,2,20 x 80,5,2.28,data
Geometry 1 - Rectangular,2,20 x 90,2,1.50,data
Geometry 1 - Rectangular,2,subtotal,15,9.36,subtotal
Geometry 1 - Rectangular,3,30 x 70,1,1.0,data
Geometry 1 - Rectangular,3,30 x 80,3,1.83,data
Geometry 1 - Rectangular,3,30 x 90,3,1.83,data
Geometry 1 - Rectangular,3,subtotal,7,4.66,subtotal
Geometry 1 - Rectangular,4,40 x 50,2,1.5,data
Geometry 1 - Rectangular,4,40 x 70,2,1.5,data
Geometry 1 - Rectangular,4,40 x 80,14,3.24,data
Geometry 1 - Rectangular,4,40 x 90,1,1.0,data
Geometry 1 - Rectangular,4,subtotal,19,7.24,subtotal
Geometry 1 - Rectangular,5,50 x 80,3,1.83,data
Geometry 1 - Rectangular,,Total Geometry 1,61,31.28,total
Geometry 2 - Corner Rounded,1,50 x 50,13,3.16,data
Geometry 2 - Corner Rounded,,Total Geometry 2,13,3.16,total
Total Cost Factor - Geometry 1 + Geometry 2,,,34.44,total_formula
Total Cost Factor = 31.28 + 3.16,,,34.44,total_formula
Modular Function Value = 34.44 x 100,,,3444,total_formula
